"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_KI","avg_watchtime_nichtKI","Alter"
"teilnehmer31","elderly","none",20,5,5,60,10,15,15.8333333333333,26,15,3.33333333333333,4,3,3,3.33333333333333,12,12,16.2703636363636,13.143,67
"teilnehmer31","elderly","accurate",25,15,20,75,35,70,31.6666666666667,25,15,3.66666666666667,4,3,3,3.41666666666667,12,16,15.43875,12.1485882352941,67
"teilnehmer31","elderly","random",20,30,30,65,25,30,28.3333333333333,26,18,3.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.83333333333333,11,18,15.8643333333333,15.7194137931034,67
"teilnehmer32","elderly","none",50,45,50,50,55,25,45.8333333333333,30,10,3.33333333333333,5,4,4,4.08333333333333,8,0,27.5555,10.7709666666667,62
"teilnehmer32","elderly","random",35,35,40,40,5,5,30,31,10,3.33333333333333,5,3.33333333333333,3.33333333333333,3.75,5,0,12.4809444444444,7.21184615384615,62
"teilnehmer32","elderly","accurate",45,35,40,50,5,5,30,32,10,3.33333333333333,5,3.33333333333333,3.66666666666667,3.83333333333333,9,0,6.26465517241379,4.7485632183908,62
"teilnehmer33","elderly","random",40,40,50,55,35,60,45,27,11,3.66666666666667,4,3.66666666666667,3.33333333333333,3.66666666666667,9,23,13.4597692307692,10.616925,64
"teilnehmer33","elderly","none",35,40,45,55,65,25,42.5,25,10,3.66666666666667,3.33333333333333,3.66666666666667,3,3.41666666666667,9,36,10.3512,10.0707954545455,64
"teilnehmer33","elderly","accurate",40,50,45,50,60,25,45,22,10,3.66666666666667,3.33333333333333,3.66666666666667,3.33333333333333,3.5,9,46,11.0193333333333,5.70390625,64
"teilnehmer34","elderly","random",40,15,40,60,25,20,30,30,11,4.33333333333333,2.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,11,11,5.54366666666667,5.55164197530864,70
"teilnehmer34","elderly","accurate",25,30,35,40,35,30,35.8333333333333,31,11,4,3.33333333333333,3.33333333333333,3.66666666666667,3.58333333333333,10,19,3.86397435897436,3.90387826086957,70
"teilnehmer34","elderly","none",50,30,60,65,45,55,45.8333333333333,31,16,4,2,2.66666666666667,3.66666666666667,3.08333333333333,9,34,3.35417777777778,2.9746,70
"teilnehmer35","elderly","accurate",5,5,55,20,5,10,26.6666666666667,22,10,3,4,3.66666666666667,3,3.41666666666667,13,8,28.079,25.3548823529412,62
"teilnehmer35","elderly","random",5,5,75,5,5,75,43.3333333333333,14,15,2.33333333333333,2.33333333333333,3,2,2.41666666666667,13,17,21.3163333333333,16.31472,62
"teilnehmer35","elderly","none",5,5,60,5,5,60,38.3333333333333,13,13,2.66666666666667,3,3,1.33333333333333,2.5,13,44,28.7997777777778,13.071875,62
"teilnehmer36","elderly","accurate",5,5,5,55,5,5,11.6666666666667,24,15,1.66666666666667,1,2,1,1.41666666666667,9,30,13.132,23.0038181818182,65
"teilnehmer36","elderly","none",5,10,5,55,10,10,14.1666666666667,21,15,1.66666666666667,1.66666666666667,1.33333333333333,1,1.41666666666667,10,43,8.86915384615385,13.4555555555556,65
"teilnehmer36","elderly","random",5,10,10,50,15,15,17.5,22,17,1,2.33333333333333,1.33333333333333,1,1.41666666666667,9,49,4.8504347826087,7.14073529411765,65
"teilnehmer37","elderly","none",40,5,25,30,30,5,29.1666666666667,30,12,2,5,2.33333333333333,1,2.58333333333333,14,24,1.61995555555556,1.97655555555556,68
"teilnehmer37","elderly","accurate",30,40,30,35,35,40,40,23,18,2,3.33333333333333,1,1.66666666666667,2,15,22,1.01226666666667,1.1001037037037,68
"teilnehmer37","elderly","random",20,15,40,20,15,45,35.8333333333333,19,15,1,2.66666666666667,1,1.66666666666667,1.58333333333333,16,25,0.985044444444445,0.972888888888889,68
"teilnehmer38","elderly","none",5,5,65,5,5,5,30,13,15,1,2.33333333333333,2.33333333333333,1,1.66666666666667,8,93,14.3076,15.1578333333333,59
"teilnehmer38","elderly","random",5,5,5,5,5,30,24.1666666666667,10,12,1,3,2,1,1.75,8,48,12.2944666666667,9.18377272727273,59
"teilnehmer38","elderly","accurate",5,5,5,5,5,5,20,10,10,1,2.66666666666667,2.33333333333333,1,1.75,5,38,6.96018181818182,6.73750769230769,59
